acct_card_no,prob_true
Act_285941,1.0
Act_281997,1.0
Act_284335,1.0
Act_262744,1.0
Act_260297,1.0
Act_262746,1.0
Act_283637,1.0
Act_281994,1.0
Act_259336,1.0
Act_259337,1.0
Act_262709,1.0
Act_262670,1.0
Act_285221,1.0
Act_283609,1.0
Act_259362,1.0
Act_259358,1.0
Act_259357,1.0
Act_285236,1.0
Act_282014,1.0
Act_259347,1.0
Act_262680,1.0
Act_262681,1.0
Act_262683,1.0
Act_285245,1.0
Act_282008,1.0
Act_262689,1.0
Act_259345,1.0
Act_284341,1.0
Act_282006,1.0
Act_285247,1.0
Act_283614,1.0
Act_261011,1.0
Act_262742,1.0
Act_262740,1.0
Act_259335,1.0
Act_259560,1.0
Act_261158,1.0
Act_262208,1.0
Act_262211,1.0
Act_262212,1.0
Act_284445,1.0
Act_283493,1.0
Act_282377,1.0
Act_259554,1.0
Act_282200,1.0
Act_285122,1.0
Act_282198,1.0
Act_259321,1.0
Act_262715,1.0
Act_259318,1.0
Act_285249,1.0
Act_283617,1.0
Act_260294,1.0
Act_259326,1.0
Act_262730,1.0
Act_262731,1.0
Act_281988,1.0
Act_283621,1.0
Act_262735,1.0
Act_259320,1.0
Act_260289,1.0
Act_281986,1.0
Act_281981,1.0
Act_282000,1.0
Act_259340,1.0
Act_282383,1.0
Act_259310,1.0
Act_262754,1.0
Act_281955,1.0
Act_281954,1.0
Act_281950,1.0
Act_262762,1.0
Act_283223,1.0
Act_262765,1.0
Act_284334,1.0
Act_284329,1.0
Act_281932,1.0
Act_260305,1.0
Act_262774,1.0
Act_262776,1.0
Act_260999,1.0
Act_283655,1.0
Act_262778,1.0
Act_283656,1.0
Act_281922,1.0
Act_281921,1.0
Act_285284,1.0
Act_281917,1.0
Act_259364,1.0
Act_261026,1.0
Act_259437,1.0
Act_262541,1.0
Act_282144,1.0
Act_260255,1.0
Act_285143,1.0
Act_284367,1.0
Act_281957,1.0
Act_285272,1.0
Act_284328,1.0
Act_285292,1.0
Act_285271,1.0
Act_259308,1.0
Act_259288,1.0
Act_281913,1.0
Act_285290,1.0
Act_283660,1.0
Act_260987,1.0
Act_281909,1.0
Act_283661,1.0
Act_262799,1.0
Act_281906,1.0
Act_281905,1.0
Act_281893,1.0
Act_283666,1.0
Act_281959,1.0
Act_259282,1.0
Act_281887,1.0
Act_281885,1.0
Act_259281,1.0
Act_259280,1.0
Act_283667,1.0
Act_285293,1.0
Act_283670,1.0
Act_259275,1.0
Act_283680,1.0
Act_285301,1.0
Act_262792,1.0
Act_285288,1.0
Act_262205,1.0
Act_262202,1.0
Act_276421,1.0
Act_261202,1.0
Act_262258,1.0
Act_262152,1.0
Act_282427,1.0
Act_282425,1.0
Act_284986,1.0
Act_282423,1.0
Act_262146,1.0
Act_259602,1.0
Act_283470,1.0
Act_283479,1.0
Act_259598,1.0
Act_260179,1.0
Act_283482,1.0
Act_261173,1.0
Act_285030,1.0
Act_262153,1.0
Act_259583,1.0
Act_284993,1.0
Act_259578,1.0
Act_284446,1.0
Act_282410,1.0
Act_260185,1.0
Act_284995,1.0
Act_262159,1.0
Act_260188,1.0
Act_261172,1.0
Act_259610,1.0
Act_261181,1.0
Act_259613,1.0
Act_262262,1.0
Act_262268,1.0
Act_262383,1.0
Act_285064,1.0
Act_262449,1.0
Act_283553,1.0
Act_285112,1.0
Act_262400,1.0
Act_259463,1.0
Act_262394,1.0
Act_282227,1.0
Act_282252,1.0
Act_259489,1.0
Act_261098,1.0
Act_260234,1.0
Act_261096,1.0
Act_259485,1.0
Act_285069,1.0
Act_283547,1.0
Act_259478,1.0
Act_283544,1.0
Act_285072,1.0
Act_282237,1.0
Act_285077,1.0
Act_282236,1.0
Act_285082,1.0
Act_283546,1.0
Act_259469,1.0
Act_259468,1.0
Act_285083,1.0
Act_259465,1.0
Act_262378,1.0
Act_262139,1.0
Act_283449,1.0
Act_259561,1.0
Act_282464,1.0
Act_259543,1.0
Act_262228,1.0
Act_262230,1.0
Act_283509,1.0
Act_282370,1.0
Act_262243,1.0
Act_283513,1.0
Act_259540,1.0
Act_282361,1.0
Act_262246,1.0
Act_262250,1.0
Act_262251,1.0
Act_262253,1.0
Act_261140,1.0
Act_259534,1.0
Act_262219,1.0
Act_283499,1.0
Act_282398,1.0
Act_262217,1.0
Act_282397,1.0
Act_285004,1.0
Act_261171,1.0
Act_282392,1.0
Act_282387,1.0
Act_261163,1.0
Act_285010,1.0
Act_283489,1.0
Act_262200,1.0
Act_262201,1.0
Act_260202,1.0
Act_262227,1.0
Act_262221,1.0
Act_260170,1.0
Act_259627,1.0
Act_262110,1.0
Act_261198,1.0
Act_261195,1.0
Act_282456,1.0
Act_283454,1.0
Act_260155,1.0
Act_282455,1.0
Act_282448,1.0
Act_259618,1.0
Act_262121,1.0
Act_260165,1.0
Act_282445,1.0
Act_262125,1.0
Act_284439,1.0
Act_282434,1.0
Act_262129,1.0
Act_262136,1.0
Act_262138,1.0
Act_284977,1.0
Act_262175,1.0
Act_282406,1.0
Act_282402,1.0
Act_262218,1.0
Act_283506,1.0
Act_262220,1.0
Act_285014,1.0
Act_284442,1.0
Act_259417,1.0
Act_259416,1.0
Act_262531,1.0
Act_284764,1.0
Act_261733,1.0
Act_261330,1.0
Act_283331,1.0
Act_261327,1.0
Act_282857,1.0
Act_261740,1.0
Act_260060,1.0
Act_259838,1.0
Act_284775,1.0
Act_261741,1.0
Act_261324,1.0
Act_282849,1.0
Act_284777,1.0
Act_261323,1.0
Act_282848,1.0
Act_261758,1.0
Act_282844,1.0
Act_261767,1.0
Act_284772,1.0
Act_284546,1.0
Act_261672,1.0
Act_284770,1.0
Act_282925,1.0
Act_282924,1.0
Act_282923,1.0
Act_283319,1.0
Act_261680,1.0
Act_282919,1.0
Act_284755,1.0
Act_259843,1.0
Act_259844,1.0
Act_282866,1.0
Act_282973,1.0
Act_284718,1.0
Act_283002,1.0
Act_259888,1.0
Act_261598,1.0
Act_283001,1.0
Act_282998,1.0
Act_282988,1.0
Act_282986,1.0
Act_284720,1.0
Act_282974,1.0
Act_260037,1.0
Act_284564,1.0
Act_261612,1.0
Act_283304,1.0
Act_261728,1.0
Act_261614,1.0
Act_261615,1.0
Act_282969,1.0
Act_282964,1.0
Act_283308,1.0
Act_282962,1.0
Act_284562,1.0
Act_261629,1.0
Act_261671,1.0
Act_283318,1.0
Act_259860,1.0
Act_282873,1.0
Act_261727,1.0
Act_282912,1.0
Act_261694,1.0
Act_262537,1.0
Act_260053,1.0
Act_261384,1.0
Act_283108,1.0
Act_283107,1.0
Act_261503,1.0
Act_259949,1.0
Act_259946,1.0
Act_283095,1.0
Act_259945,1.0
Act_283164,1.0
Act_261458,1.0
Act_283166,1.0
Act_261453,1.0
Act_261419,1.0
Act_261420,1.0
Act_283218,1.0
Act_261423,1.0
Act_284604,1.0
Act_283212,1.0
Act_283229,1.0
Act_283233,1.0
Act_259996,1.0
Act_284605,1.0
Act_284601,1.0
Act_283178,1.0
Act_283245,1.0
Act_284600,1.0
Act_261446,1.0
Act_283175,1.0
Act_284612,1.0
Act_261497,1.0
Act_284586,1.0
Act_283117,1.0
Act_261589,1.0
Act_261696,1.0
Act_282908,1.0
Act_260056,1.0
Act_282906,1.0
Act_261703,1.0
Act_284765,1.0
Act_260057,1.0
Act_282887,1.0
Act_284768,1.0
Act_259855,1.0
Act_284769,1.0
Act_259852,1.0
Act_283296,1.0
Act_283333,1.0
Act_283294,1.0
Act_261485,1.0
Act_259971,1.0
Act_284599,1.0
Act_283149,1.0
Act_283143,1.0
Act_284589,1.0
Act_284587,1.0
Act_261478,1.0
Act_284642,1.0
Act_283125,1.0
Act_261387,1.0
Act_261386,1.0
Act_261489,1.0
Act_282960,1.0
Act_261633,1.0
Act_261638,1.0
Act_282955,1.0
Act_285137,1.0
Act_285140,1.0
Act_260248,1.0
Act_282169,1.0
Act_282165,1.0
Act_259426,1.0
Act_261064,1.0
Act_282157,1.0
Act_282155,1.0
Act_284373,1.0
Act_259424,1.0
Act_262576,1.0
Act_262577,1.0
Act_282109,1.0
Act_283587,1.0
Act_261034,1.0
Act_282051,1.0
Act_282047,1.0
Act_259387,1.0
Act_262644,1.0
Act_262645,1.0
Act_282043,1.0
Act_262648,1.0
Act_284343,1.0
Act_259383,1.0
Act_282041,1.0
Act_259382,1.0
Act_262654,1.0
Act_283592,1.0
Act_284378,1.0
Act_282180,1.0
Act_285135,1.0
Act_260266,1.0
Act_285152,1.0
Act_282139,1.0
Act_259414,1.0
Act_282137,1.0
Act_259367,1.0
Act_282135,1.0
Act_259411,1.0
Act_282127,1.0
Act_284363,1.0
Act_260264,1.0
Act_284362,1.0
Act_262552,1.0
Act_282119,1.0
Act_262572,1.0
Act_282190,1.0
Act_262574,1.0
Act_262520,1.0
Act_262519,1.0
Act_282153,1.0
Act_262516,1.0
Act_261070,1.0
Act_259435,1.0
Act_262470,1.0
Act_262473,1.0
Act_261069,1.0
Act_262476,1.0
Act_261066,1.0
Act_262481,1.0
Act_285200,1.0
Act_285201,1.0
Act_282037,1.0
Act_284734,1.0
Act_282470,1.0
Act_283446,1.0
Act_282477,1.0
Act_284735,1.0
Act_260044,1.0
Act_261349,1.0
Act_283313,1.0
Act_259875,1.0
Act_284559,1.0
Act_261645,1.0
Act_284733,1.0
Act_261648,1.0
Act_260046,1.0
Act_282947,1.0
Act_262627,1.0
Act_282946,1.0
Act_261362,1.0
Act_261654,1.0
Act_284745,1.0
Act_261656,1.0
Act_259867,1.0
Act_282942,1.0
Act_261345,1.0
Act_284551,1.0
Act_259864,1.0
Act_282938,1.0
Act_282927,1.0
Act_261338,1.0
Act_282060,1.0
Act_262626,1.0
Act_282033,1.0
Act_284361,1.0
Act_285204,1.0
Act_282030,1.0
Act_260288,1.0
Act_282028,1.0
Act_262665,1.0
Act_283589,1.0
Act_262632,1.0
Act_262584,1.0
Act_282058,1.0
Act_282108,1.0
Act_262588,1.0
Act_283580,1.0
Act_285159,1.0
Act_262593,1.0
Act_283586,1.0
Act_283582,1.0
Act_259404,1.0
Act_262598,1.0
Act_261044,1.0
Act_259401,1.0
Act_285165,1.0
Act_282085,1.0
Act_285168,1.0
Act_259398,1.0
Act_282069,1.0
Act_262612,1.0
Act_262615,1.0
Act_284353,1.0
Act_282205,1.0
Act_282206,1.0
Act_259447,1.0
Act_269983,1.0
Act_274883,1.0
Act_274885,1.0
Act_274886,1.0
Act_270013,1.0
Act_270010,1.0
Act_270004,1.0
Act_269909,1.0
Act_274980,1.0
Act_269927,1.0
Act_274986,1.0
Act_269922,1.0
Act_269917,1.0
Act_274998,1.0
Act_275005,1.0
Act_269908,1.0
Act_270002,1.0
Act_269907,1.0
Act_269903,1.0
Act_275012,1.0
Act_269895,1.0
Act_269894,1.0
Act_269893,1.0
Act_269891,1.0
Act_269933,1.0
Act_274978,1.0
Act_269940,1.0
Act_269943,1.0
Act_270001,1.0
Act_269992,1.0
Act_274881,1.0
Act_274880,1.0
Act_274877,1.0
Act_270019,1.0
Act_270054,1.0
Act_274905,1.0
Act_274908,1.0
Act_274910,1.0
Act_274913,1.0
Act_274918,1.0
Act_274921,1.0
Act_270061,1.0
Act_270033,1.0
Act_274925,1.0
Act_270023,1.0
Act_274931,1.0
Act_274936,1.0
Act_270017,1.0
Act_270082,1.0
Act_270060,1.0
Act_274887,1.0
Act_269885,1.0
Act_270093,1.0
Act_270110,1.0
Act_270109,1.0
Act_274856,1.0
Act_270105,1.0
Act_274860,1.0
Act_274861,1.0
Act_270094,1.0
Act_274867,1.0
Act_270066,1.0
Act_269985,1.0
Act_274946,1.0
Act_270150,1.0
Act_269973,1.0
Act_270328,1.0
Act_270364,1.0
Act_270361,1.0
Act_274643,1.0
Act_270354,1.0
Act_270349,1.0
Act_274652,1.0
Act_274660,1.0
Act_274662,1.0
Act_270344,1.0
Act_274671,1.0
Act_274675,1.0
Act_270336,1.0
Act_270334,1.0
Act_274679,1.0
Act_274681,1.0
Act_274737,1.0
Act_274755,1.0
Act_270128,1.0
Act_270163,1.0
Act_274822,1.0
Act_270182,1.0
Act_270179,1.0
Act_274824,1.0
Act_270171,1.0
Act_270167,1.0
Act_274828,1.0
Act_270156,1.0
Act_270242,1.0
Act_270326,1.0
Act_270324,1.0
Act_270320,1.0
Act_270315,1.0
Act_274957,1.0
Act_269969,1.0
Act_274958,1.0
Act_269962,1.0
Act_274969,1.0
Act_274971,1.0
Act_269957,1.0
Act_269954,1.0
Act_269946,1.0
Act_270113,1.0
Act_270117,1.0
Act_274854,1.0
Act_274716,1.0
Act_270313,1.0
Act_274735,1.0
Act_274696,1.0
Act_274700,1.0
Act_270306,1.0
Act_270304,1.0
Act_274703,1.0
Act_274717,1.0
Act_274748,1.0
Act_270294,1.0
Act_270291,1.0
Act_274718,1.0
Act_270277,1.0
Act_274719,1.0
Act_270269,1.0
Act_274889,1.0
Act_274920,1.0
Act_270370,1.0
Act_269277,1.0
Act_276505,1.0
Act_276506,1.0
Act_268380,1.0
Act_268377,1.0
Act_276530,1.0
Act_268353,1.0
Act_276532,1.0
Act_276533,1.0
Act_276544,1.0
Act_276550,1.0
Act_268328,1.0
Act_268325,1.0
Act_276557,1.0
Act_276559,1.0
Act_276384,1.0
Act_276383,1.0
Act_276381,1.0
Act_268694,1.0
Act_268713,1.0
Act_276224,1.0
Act_276226,1.0
Act_268704,1.0
Act_268702,1.0
Act_276230,1.0
Act_276233,1.0
Act_268692,1.0
Act_268653,1.0
Act_276237,1.0
Act_276240,1.0
Act_276504,1.0
Act_268319,1.0
Act_268314,1.0
Act_268291,1.0
Act_268469,1.0
Act_276427,1.0
Act_268461,1.0
Act_268459,1.0
Act_276435,1.0
Act_276437,1.0
Act_276438,1.0
Act_276492,1.0
Act_276499,1.0
Act_276500,1.0
Act_268270,1.0
Act_276586,1.0
Act_276588,1.0
Act_268290,1.0
Act_268303,1.0
Act_268277,1.0
Act_268275,1.0
Act_268274,1.0
Act_268269,1.0
Act_276503,1.0
Act_268267,1.0
Act_268266,1.0
Act_268264,1.0
Act_276601,1.0
Act_268252,1.0
Act_268248,1.0
Act_268244,1.0
Act_268301,1.0
Act_268680,1.0
Act_268674,1.0
Act_276247,1.0
Act_268636,1.0
Act_276275,1.0
Act_268543,1.0
Act_276377,1.0
Act_268526,1.0
Act_268525,1.0
Act_268522,1.0
Act_268521,1.0
Act_268520,1.0
Act_276331,1.0
Act_276325,1.0
Act_276317,1.0
Act_268593,1.0
Act_276279,1.0
Act_268631,1.0
Act_268556,1.0
Act_268630,1.0
Act_268622,1.0
Act_268620,1.0
Act_276287,1.0
Act_276288,1.0
Act_268617,1.0
Act_268613,1.0
Act_268602,1.0
Act_276300,1.0
Act_276304,1.0
Act_276307,1.0
Act_276311,1.0
Act_269268,1.0
Act_276351,1.0
Act_276347,1.0
Act_276248,1.0
Act_268745,1.0
Act_276257,1.0
Act_268715,1.0
Act_276220,1.0
Act_268722,1.0
Act_276214,1.0
Act_276185,1.0
Act_276186,1.0
Act_268764,1.0
Act_268758,1.0
Act_276191,1.0
Act_276193,1.0
Act_276194,1.0
Act_276197,1.0
Act_268743,1.0
Act_276343,1.0
Act_276199,1.0
Act_276211,1.0
Act_268729,1.0
Act_276213,1.0
Act_268727,1.0
Act_276258,1.0
Act_276263,1.0
Act_268519,1.0
Act_268552,1.0
Act_268571,1.0
Act_268567,1.0
Act_276340,1.0
Act_268563,1.0
Act_270155,1.0
Act_270148,1.0
Act_262442,1.0
Act_285048,1.0
Act_269638,1.0
Act_275275,1.0
Act_269644,1.0
Act_269696,1.0
Act_275234,1.0
Act_269679,1.0
Act_275245,1.0
Act_275253,1.0
Act_275262,1.0
Act_275267,1.0
Act_269667,1.0
Act_275268,1.0
Act_269662,1.0
Act_269657,1.0
Act_269653,1.0
Act_275274,1.0
Act_269650,1.0
Act_269647,1.0
Act_280620,1.0
Act_265500,1.0
Act_272505,1.0
Act_282275,1.0
Act_282303,1.0
Act_262327,1.0
Act_282300,1.0
Act_259512,1.0
Act_282294,1.0
Act_282286,1.0
Act_259510,1.0
Act_275288,1.0
Act_275359,1.0
Act_269586,1.0
Act_269574,1.0
Act_275070,1.0
Act_275073,1.0
Act_275078,1.0
Act_275086,1.0
Act_275098,1.0
Act_269841,1.0
Act_275105,1.0
Act_269836,1.0
Act_275113,1.0
Act_269822,1.0
Act_269821,1.0
Act_275197,1.0
Act_275206,1.0
Act_275332,1.0
Act_269587,1.0
Act_275290,1.0
